"Gene ID","Gene Name","Gene Description",FC(MS20/M5),Log2FC(MS20/M5),Pvalue,Padjust,Significant,Regulate,MS20_1,MS20_2,MS20_3,M5_1,M5_2,M5_3,MS20,M5
EVM0008832,,-,4.25132678601,2.08791315863,4.33035818789E-5,0.000759537925187,yes,up,2707.23,2183.54,2190.53,668.37,673.52,191.65,2360.43333333,511.18
EVM0008835,,-,0.034737371721,-4.84736758796,2.61636398032E-8,1.4862635385E-6,yes,down,2.51,2.57,9.28,24.39,49.42,319.21,4.78666666667,131.006666667
EVM0008836,,-,0.193619261487,-2.36870561402,4.09047968767E-10,3.83156102659E-8,yes,down,186.53,108.32,118.07,785.08,449.6,669.94,137.64,634.873333333
EVM0008838,,-,0.283156954946,-1.82032612892,5.93285076653E-6,0.000152521900728,yes,down,31.13,31.75,31.86,102.24,71.05,132.75,31.58,102.013333333
EVM0008840,,-,0.295948811711,-1.75658043078,9.52323164139E-6,0.00022360547894,yes,down,62.54,79.79,66.52,257.98,235.97,162.63,69.6166666667,218.86
EVM0008841,,-,0.417290493213,-1.26087604165,0.00104469009012,0.00960177060904,yes,down,32.49,22.07,21.37,69.98,54.6,37.73,25.31,54.1033333333
EVM0008855,,-,0.471827995593,-1.08366707244,0.00838989328094,0.0461273870363,yes,down,10.5,7.21,6.69,18.19,10,17.89,8.13333333333,15.36
EVM0008857,,-,4.65688781081,2.21936612658,5.16947421302E-7,1.87699878126E-5,yes,up,84.12,82.98,74.04,19.96,12.61,17.13,80.38,16.5666666667
EVM0008871,,-,2.48641112426,1.31406486352,0.00132554958636,0.0115103196331,yes,up,211.44,299.81,204.51,115.2,82.24,68.57,238.586666667,88.67
EVM0008877,,-,2.17396075114,1.12032589407,0.00510425892805,0.0322150268054,yes,up,243.96,340.49,199.62,118.09,102,117.54,261.356666667,112.543333333
